ArrayTaskID	Model_Type	Subject	Sensor	Hours	Event	Sampling	Model	Binary	Epochs	Callbacks
273	indv	12-mb	left	dlh2	classification	_downsample	randomforest	True	100	None
274	indv	12-mb	left	dlh2	classification	_downsample	randomforest	True	200	None
275	indv	12-mb	left	dlh2	classification	_downsample	randomforest	True	500	None
276	indv	12-mb	left	dlh2	classification	_downsample	randomforest	True	1000	None
277	indv	12-mb	left	dlh2	classification	_downsample	lr	True	100	None
278	indv	12-mb	left	dlh2	classification	_downsample	lr	True	200	None
279	indv	12-mb	left	dlh2	classification	_downsample	lr	True	500	None
280	indv	12-mb	left	dlh2	classification	_downsample	lr	True	1000	None
281	indv	12-mb	left	dlh2	classification	_smote	randomforest	True	100	None
282	indv	12-mb	left	dlh2	classification	_smote	randomforest	True	200	None
283	indv	12-mb	left	dlh2	classification	_smote	randomforest	True	500	None
284	indv	12-mb	left	dlh2	classification	_smote	randomforest	True	1000	None
285	indv	12-mb	left	dlh2	classification	_smote	lr	True	100	None
286	indv	12-mb	left	dlh2	classification	_smote	lr	True	200	None
287	indv	12-mb	left	dlh2	classification	_smote	lr	True	500	None
288	indv	12-mb	left	dlh2	classification	_smote	lr	True	1000	None
289	indv	17-sb	left	dlh0	classification	_None	randomforest	True	100	None
290	indv	17-sb	left	dlh0	classification	_None	randomforest	True	200	None
291	indv	17-sb	left	dlh0	classification	_None	randomforest	True	500	None
292	indv	17-sb	left	dlh0	classification	_None	randomforest	True	1000	None
293	indv	17-sb	left	dlh0	classification	_None	lr	True	100	None
294	indv	17-sb	left	dlh0	classification	_None	lr	True	200	None
295	indv	17-sb	left	dlh0	classification	_None	lr	True	500	None
296	indv	17-sb	left	dlh0	classification	_None	lr	True	1000	None
297	indv	17-sb	left	dlh0	classification	_downsample	randomforest	True	100	None
298	indv	17-sb	left	dlh0	classification	_downsample	randomforest	True	200	None
299	indv	17-sb	left	dlh0	classification	_downsample	randomforest	True	500	None
300	indv	17-sb	left	dlh0	classification	_downsample	randomforest	True	1000	None
301	indv	17-sb	left	dlh0	classification	_downsample	lr	True	100	None
302	indv	17-sb	left	dlh0	classification	_downsample	lr	True	200	None
303	indv	17-sb	left	dlh0	classification	_downsample	lr	True	500	None
304	indv	17-sb	left	dlh0	classification	_downsample	lr	True	1000	None
305	indv	17-sb	left	dlh0	classification	_smote	randomforest	True	100	None
306	indv	17-sb	left	dlh0	classification	_smote	randomforest	True	200	None
307	indv	17-sb	left	dlh0	classification	_smote	randomforest	True	500	None
308	indv	17-sb	left	dlh0	classification	_smote	randomforest	True	1000	None
309	indv	17-sb	left	dlh0	classification	_smote	lr	True	100	None
310	indv	17-sb	left	dlh0	classification	_smote	lr	True	200	None
311	indv	17-sb	left	dlh0	classification	_smote	lr	True	500	None
312	indv	17-sb	left	dlh0	classification	_smote	lr	True	1000	None
313	indv	17-sb	left	dlh1	classification	_None	randomforest	True	100	None
314	indv	17-sb	left	dlh1	classification	_None	randomforest	True	200	None
315	indv	17-sb	left	dlh1	classification	_None	randomforest	True	500	None
316	indv	17-sb	left	dlh1	classification	_None	randomforest	True	1000	None
317	indv	17-sb	left	dlh1	classification	_None	lr	True	100	None
318	indv	17-sb	left	dlh1	classification	_None	lr	True	200	None
319	indv	17-sb	left	dlh1	classification	_None	lr	True	500	None
320	indv	17-sb	left	dlh1	classification	_None	lr	True	1000	None
321	indv	17-sb	left	dlh1	classification	_downsample	randomforest	True	100	None
322	indv	17-sb	left	dlh1	classification	_downsample	randomforest	True	200	None
323	indv	17-sb	left	dlh1	classification	_downsample	randomforest	True	500	None
324	indv	17-sb	left	dlh1	classification	_downsample	randomforest	True	1000	None
325	indv	17-sb	left	dlh1	classification	_downsample	lr	True	100	None
326	indv	17-sb	left	dlh1	classification	_downsample	lr	True	200	None
327	indv	17-sb	left	dlh1	classification	_downsample	lr	True	500	None
328	indv	17-sb	left	dlh1	classification	_downsample	lr	True	1000	None
329	indv	17-sb	left	dlh1	classification	_smote	randomforest	True	100	None
330	indv	17-sb	left	dlh1	classification	_smote	randomforest	True	200	None
331	indv	17-sb	left	dlh1	classification	_smote	randomforest	True	500	None
332	indv	17-sb	left	dlh1	classification	_smote	randomforest	True	1000	None
333	indv	17-sb	left	dlh1	classification	_smote	lr	True	100	None
334	indv	17-sb	left	dlh1	classification	_smote	lr	True	200	None
335	indv	17-sb	left	dlh1	classification	_smote	lr	True	500	None
336	indv	17-sb	left	dlh1	classification	_smote	lr	True	1000	None
337	indv	17-sb	left	dlh2	classification	_None	randomforest	True	100	None
338	indv	17-sb	left	dlh2	classification	_None	randomforest	True	200	None
339	indv	17-sb	left	dlh2	classification	_None	randomforest	True	500	None
340	indv	17-sb	left	dlh2	classification	_None	randomforest	True	1000	None
341	indv	17-sb	left	dlh2	classification	_None	lr	True	100	None
342	indv	17-sb	left	dlh2	classification	_None	lr	True	200	None
343	indv	17-sb	left	dlh2	classification	_None	lr	True	500	None
344	indv	17-sb	left	dlh2	classification	_None	lr	True	1000	None
345	indv	17-sb	left	dlh2	classification	_downsample	randomforest	True	100	None
346	indv	17-sb	left	dlh2	classification	_downsample	randomforest	True	200	None
347	indv	17-sb	left	dlh2	classification	_downsample	randomforest	True	500	None
348	indv	17-sb	left	dlh2	classification	_downsample	randomforest	True	1000	None
349	indv	17-sb	left	dlh2	classification	_downsample	lr	True	100	None
350	indv	17-sb	left	dlh2	classification	_downsample	lr	True	200	None
351	indv	17-sb	left	dlh2	classification	_downsample	lr	True	500	None
352	indv	17-sb	left	dlh2	classification	_downsample	lr	True	1000	None
353	indv	17-sb	left	dlh2	classification	_smote	randomforest	True	100	None
354	indv	17-sb	left	dlh2	classification	_smote	randomforest	True	200	None
355	indv	17-sb	left	dlh2	classification	_smote	randomforest	True	500	None
