ArrayTaskID	Model_Type	Subject	Sensor	Hours	Event	Sampling	Model	Binary	Epochs	Callbacks
347	indv	39-dg	left	dlh2	classification	_None	lr	True	1000	None
348	indv	39-dg	left	dlh2	classification	_None	sgd	True	1000	None
349	indv	39-dg	left	dlh2	classification	_downsample	randomforest	True	1000	None
350	indv	39-dg	left	dlh2	classification	_downsample	lr	True	1000	None
351	indv	39-dg	left	dlh2	classification	_downsample	sgd	True	1000	None
352	indv	4-rs	left	dlh0	classification	_smote	randomforest	True	1000	None
353	indv	4-rs	left	dlh0	classification	_smote	lr	True	1000	None
354	indv	4-rs	left	dlh0	classification	_smote	sgd	True	1000	None
355	indv	4-rs	left	dlh0	classification	_None	randomforest	True	1000	None
356	indv	4-rs	left	dlh0	classification	_None	lr	True	1000	None
357	indv	4-rs	left	dlh0	classification	_None	sgd	True	1000	None
